car_model,year_of_manufacture,price,fuel
ciaz,2017,10820.9,Petrol
ciaz,2015,10074.63,Petrol
ciaz,2015,10074.63,Petrol
ciaz,2015,11119.4,Diesel
ritz,2014,5000.0,Petrol
ritz,2012,4626.87,Diesel
ritz,2012,4626.87,Diesel
sx4,2013,7089.55,Diesel
sx4,2011,4402.99,CNG
sx4,2011,4402.99,CNG
fortuner,2014,27985.07,Diesel
fortuner,2015,35074.63,Diesel
fortuner,2015,35074.63,Diesel
fortuner,2010,13805.97,Diesel
corolla altis,2013,10373.13,Petrol
corolla altis,2011,6492.54,Petrol
corolla altis,2011,6492.54,Petrol
ciaz,2015,10223.88,Diesel
ciaz,2015,11194.03,Petrol
dzire,2014,8208.96,Diesel
dzire,2015,6940.3,Petrol
dzire,2015,6940.3,Petrol
ertiga,2014,8955.22,Diesel
ertiga,2015,9104.48,Petrol
ertiga,2015,9104.48,Petrol
ertiga,2015,10820.9,Diesel
ertiga,2016,11567.16,Diesel
sx4,2010,3955.22,Petrol
sx4,2008,2910.45,Petrol
dzire,2014,8208.96,Diesel
ciaz,2014,11194.03,Petrol
ritz,2013,3955.22,Petrol
wagon r,2011,4253.73,Petrol
wagon r,2015,4850.75,CNG
wagon r,2015,4850.75,CNG
ertiga,2015,8656.72,Petrol
ciaz,2017,11567.16,Petrol
corolla altis,2011,6716.42,Diesel
corolla altis,2013,11119.4,Petrol
etios liva,2014,7089.55,Diesel
etios liva,2014,5895.52,Diesel
etios liva,2014,5895.52,Diesel
corolla altis,2013,8208.96,Petrol
corolla altis,2010,7835.82,Petrol
fortuner,2012,21641.79,Diesel
alto k10,2016,4477.61,Petrol
alto k10,2014,3805.97,Petrol
alto k10,2014,3805.97,Petrol
sx4,2011,6567.16,Petrol
alto k10,2014,3731.34,Petrol
wagon r,2013,4328.36,Petrol
swift,2014,6865.67,Diesel
swift,2014,7388.06,Diesel
swift,2014,7388.06,Diesel
swift,2013,6194.03,Petrol
swift,2017,8955.22,Petrol
alto k10,2010,2910.45,Petrol
ciaz,2015,11119.4,Diesel
fortuner,2012,22238.81,Diesel
fortuner,2015,34328.36,Diesel
fortuner,2013,23880.6,Diesel
innova,2017,29477.61,Petrol
innova,2017,26865.67,Diesel
innova,2017,26865.67,Diesel
corolla altis,2009,5373.13,Petrol
etios cross,2015,6716.42,Petrol
etios cross,2014,7313.43,Diesel
etios cross,2014,7313.43,Diesel
corolla altis,2010,7089.55,Petrol
fortuner,2014,29835.82,Diesel
corolla altis,2016,21985.07,Diesel
innova,2017,34328.36,Diesel
innova,2015,18656.72,Diesel
innova,2005,5208.96,Diesel
corolla altis,2012,8805.97,Petrol
etios liva,2013,5149.25,Petrol
etios g,2015,5895.52,Petrol
etios g,2014,6119.4,Petrol
etios g,2014,6119.4,Petrol
